,Project Number,Contractor
621,2013-530610-Sola,SOLAR SOLUTIONS OF LONG ISLAND
622,2011-188591-SLPR,
623,2014-643594-Sola,VIVINT SOLAR
624,2011-160276-SLPR,
625,2011-158647-SLPR,
626,4003-014,"Alteris RPS, LLC"
627,2011-159604-SLPR,
628,2011-158513-SLPR,
629,4030-046,Hudson Valley Clean Energy
630,4022-007,Mercury Solar
631,2013-538675-Sola,ALLIED BUILDING PRODUCT CORP
632,2011-448210-Sola,SUNPOWER REBATE PROGRAM
633,2014-649691-Sola,SOLARCITY CORPORATION
634,2013-531995-Sola,COOPER ELECTRIC
635,2013-536849-Sola,"SUNRUN, INC"
636,2013-531009-Sola,YOU SAVE GREEN INC
637,4030-033,Hudson Valley Clean Energy
638,2014-661297-Sola,VIVINT SOLAR
639,2014-663790-Sola,BUILT WELL SOLAR
640,2011-425804-Sola,EMPOWER CES LLC
641,2012-465521-Sola,SUNPOWER REBATE PROGRAM
642,2014-663919-Sola,"solar Intergrated fund II, llc"
643,2013-538372-Sola,SUNPOWER REBATE PROGRAM
644,2011-158528-SLPR,
645,2014-661167-Sola,VIVINT SOLAR
646,2014-643656-Sola,SUNATION SOLAR SYSTEMS INC.
647,2011-159185-SLPR,
648,2012-475451-Sola,SUNWIZE TECHNOLOGIES
649,2014-653707-Sola,VIVINT SOLAR
650,2011-158087-SLPR,
651,2011-159977-SLPR,
652,2013-527035-Sola,JOYCE MILILLO
653,2014-664306-Sola,LONG ISLAND POWER SOLUTIONS
654,2011-157212-SLPR,
655,2011-415194-Sola,DC POWER SYSTEMS
656,2013-585727-Sola,SOLARCITY CORPORATION
657,2014-665447-Sola,"VISIGOTH SOLAR 1, LLC"
658,2014-653764-Sola,"SOLAR INTEGRATED FUND I, LLC"
659,4022-31064,Mercury Solar
660,2014-664682-Sola,VIVINT SOLAR
661,2011-158992-SLPR,
662,2011-157760-SLPR,
663,4061-045,Hudson Valley Clean Energy
664,2011-158845-SLPR,
665,2011-159828-SLPR,
666,2014-640009-Sola,VIVINT SOLAR
667,2012-502605-Sola,FJC
668,2014-649572-Sola,VIVINT SOLAR
669,2011-159928-SLPR,
670,2011-440899-Sola,SUNPOWER REBATE PROGRAM
671,2014-640367-Sola,"SOLAR INTEGRATED FUND I, LLC"
672,2014-659120-Sola,VIVINT SOLAR
673,2014-648547-Sola,ALLIED BUILDING PRODUCT CORP
674,2013-540136-Sola,QUAD STATE SOLAR
675,2011-157498-SLPR,
676,2014-660731-Sola,VIVINT SOLAR
677,2013-533943-Sola,"SUNRUN, INC"
678,2013-530163-Sola,SOLAR DAD AND SONS INC
679,2014-654869-Sola,LEVEL SOLAR
680,2014-650962-Sola,SOLARCITY CORPORATION
681,2014-645925-Sola,Mound Solar Owner VIII LLC
682,2011-159674-SLPR,
683,2012-500769-Sola,SUNPOWER REBATE PROGRAM
684,2013-531613-Sola,SUNPOWER REBATE PROGRAM
685,2011-159779-SLPR,
686,2014-657139-Sola,SUNATION SOLAR SYSTEMS INC.
687,2011-156571-SLPR,
688,4006-100263,"ETM Solar Works, Inc."
689,2011-158684-SLPR,
690,2011-159360-SLPR,
691,2014-655332-Sola,"SUNRUN, INC"
692,2014-639827-Sola,"SOLAR INTEGRATED FUND I, LLC"
693,2011-161126-SLPR,
694,2014-645338-Sola,VIVINT SOLAR
695,2011-159504-SLPR,
696,2013-535521-Sola,COOPER ELECTRIC
697,2013-623503-Sola,VIVINT SOLAR
698,2014-663925-Sola,"BLUE SKIES SOLAR,LLC"
699,2014-644955-Sola,VIVINT SOLAR
700,2013-636552-Sola,ELDOR CONTRACTING CORP
701,2014-648906-Sola,VIVINT SOLAR
702,2011-159241-SLPR,
703,2011-158760-SLPR,
704,2013-525160-Sola,SUNPOWER REBATE PROGRAM
705,2013-633928-Sola,"SUNGEVITY DEVELOPMENT, LLC"
706,2011-448215-Sola,SUNPOWER REBATE PROGRAM
707,2011-157151-SLPR,
708,2014-665440-Sola,VIVINT SOLAR
709,2013-584020-Sola,EMPOWER CES LLC
710,2011-159876-SLPR,
711,2014-645911-Sola,"SUNRUN, INC"
712,4014-34952,"Solar Energy Systems, LLC"
713,2011-157179-SLPR,
714,2014-660638-Sola,VIVINT SOLAR
715,2010-146062-SLPR,SUNWIZE TECHNOLOGIES
716,2013-532069-Sola,ASTRUM SOLAR INC
717,2013-542088-Sola,TRINITY SOLAR
718,2011-159234-SLPR,
719,2011-157438-SLPR,
720,2011-157941-SLPR,
721,2011-371423-SLPR,UR SOLAR POWER LLC
722,2011-160469-SLPR,
723,2013-531503-Sola,SOLARCITY CORPORATION
724,2011-158355-SLPR,
725,2014-673263-Sola,YOU SAVE GREEN INC
726,2013-538768-Sola,"SUNRUN, INC"
727,2011-382720-SLPR,SUNPOWER REBATE PROGRAM
728,2014-653955-Sola,"KILOWATT SYSTEMS, INC"
729,4033-21069,"Renovus Energy, Inc"
730,4030-26092,Hudson Valley Clean Energy
731,4006-78338,"ETM Solar Works, Inc."
732,2012-475816-Sola,SUNPOWER REBATE PROGRAM
733,2013-531505-Sola,SOLARCITY CORPORATION
734,2011-160412-SLPR,
735,4033-49119,"Renovus Energy, Inc"
736,2011-159436-SLPR,
737,2014-646602-Sola,YOU SAVE GREEN INC
738,2014-653921-Sola,VIVINT SOLAR
739,4011-011,Triangle Electrical Systems
740,2014-646009-Sola,VIVINT SOLAR
741,2014-648453-Sola,SUNATION SOLAR SYSTEMS INC.
742,2011-150687-SLPR,"GO SOLAR GRID TIE SYSTEMS, INC."
743,2014-665944-Sola,VIVINT SOLAR
744,4030-20794,Hudson Valley Clean Energy
745,2014-646303-Sola,"SUNRUN, INC"
746,2013-584733-Sola,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC
747,2011-156680-SLPR,
748,2012-464629-Sola,MERCURY SOLAR SYSTEMS
749,2013-537310-Sola,COOPER ELECTRIC
750,2011-158858-SLPR,
751,2013-524657-Sola,WESCO DISTRIBUTION INC
752,2011-157405-SLPR,
753,2011-158864-SLPR,
754,2011-158028-SLPR,
755,2014-650940-Sola,VIVINT SOLAR
756,4030-20124,Hudson Valley Clean Energy
757,2011-160409-SLPR,
758,2012-471762-Sola,SUNPOWER REBATE PROGRAM
759,2014-645194-Sola,VIVINT SOLAR
760,2011-432942-SLPR,BEST ENERGY POWER
761,2013-539668-Sola,SUNPOWER REBATE PROGRAM
762,2011-414248-Sola,GREENLOGIC LLC
763,2012-518564-Sola,SUNATION SOLAR SYSTEMS INC.
764,4025-36168,"Solar & Wind FX, Inc."
765,4054-23845,"Earthsponse, LLC"
766,4005-032,"groSolar (Global Resource Options, Inc.)"
767,2013-535762-Sola,"SUNRUN, INC"
768,2013-531243-Sola,"MONTE ROSA SOLAR, LLC"
769,4033-53795,"Renovus Energy, Inc"
770,2014-658744-Sola,VIVINT SOLAR
771,2010-144145-SLPR,SUNPOWER REBATE PROGRAM
772,2011-157648-SLPR,
773,2014-639854-Sola,VIVINT SOLAR
774,2013-534716-Sola,R & B QUALITY ELECTRIC
775,2014-655035-Sola,LEVEL SOLAR
776,2014-648333-Sola,VIVINT SOLAR
777,4030-19435,Hudson Valley Clean Energy
778,2013-540872-Sola,ALLIED BUILDING PRODUCT CORP
779,2011-159452-SLPR,
780,2012-519417-Sola,ASTRUM SOLAR INC
781,2014-648855-Sola,"VISIGOTH SOLAR 1, LLC"
782,2013-534523-Sola,"SUNRUN, INC"
783,2013-539497-Sola,REVCO ELECTRICAL SUPPLY
784,2011-371989-SLPR,YOU SAVE GREEN INC
785,2013-531703-Sola,WESCO DISTRIBUTION INC
786,2014-640428-Sola,VIVINT SOLAR
787,2013-521858-Sola,SUNPOWER REBATE PROGRAM
788,2011-269195-SLPR,SHARP ELECTRONICS CORP.
789,2012-486051-Sola,JOYCE MILILLO
790,2011-156360-SLPR,
791,2011-159327-SLPR,
792,2011-156870-SLPR,
793,2014-646419-Sola,EASTERN ENERGY SYSTEMS INC
794,2010-147340-SLPR,MERCURY SOLAR SYSTEMS
795,2013-633961-Sola,VIVINT SOLAR
796,2010-145303-SLPR,SUNWIZE TECHNOLOGIES
797,2011-158135-SLPR,
798,2013-538864-Sola,"SolarHouse 1, LLC"
799,2011-440609-Sola,SUNPOWER REBATE PROGRAM
800,2011-158400-SLPR,
801,2010-145791-SLPR,EMPOWER CES LLC
802,2011-157465-SLPR,
803,2012-465859-Sola,YOU SAVE GREEN INC
804,2013-535615-Sola,"SUNRUN, INC"
805,4006-42223,"ETM Solar Works, Inc."
806,2014-636854-Sola,VIVINT SOLAR
807,2014-664424-Sola,VIVINT SOLAR
808,4054-19551,"Earthsponse, LLC"
809,2011-158152-SLPR,
810,2014-664587-Sola,"BLUE SKIES SOLAR,LLC"
811,2012-456399-Sola,SUNPOWER REBATE PROGRAM
812,2011-159076-SLPR,
813,2011-156762-SLPR,
814,2010-146726-SLPR,MAJESTIC SON & SONS INC.
815,2014-659092-Sola,VIVINT SOLAR
816,4033-36936,"Renovus Energy, Inc"
817,2011-156954-SLPR,
818,2013-538131-Sola,SUNPOWER REBATE PROGRAM
819,4089-67105,AeonSolar
820,4006-41275,"ETM Solar Works, Inc."
821,2011-156365-SLPR,
822,2011-161044-SLPR,
823,2011-447588-Sola,SUNPOWER REBATE PROGRAM
824,2014-660882-Sola,VIVINT SOLAR
825,2010-147289-SLPR,LONG ISLAND POWER SOLUTIONS
826,4021-001,"Solar Design Associates, Inc."
827,2010-149524-SLPR,SUNRISE ELECTRICAL SERVICES
828,4005-049,"groSolar (Global Resource Options, Inc.)"
829,2011-159917-SLPR,
830,2010-147689-SLPR,NATIONAL GRID ENERGY MANAGEMENT LLC
831,2011-160839-SLPR,
832,2011-158512-SLPR,
833,2013-534384-Sola,VIVINT SOLAR
834,2014-661106-Sola,VIVINT SOLAR
835,2014-655226-Sola,"SUNPOWER CAPITAL, LLC c/o RESIDENTIAL LEASING"
836,2011-157979-SLPR,
837,2013-628333-Sola,VIVINT SOLAR
838,2013-537712-Sola,SUNPOWER CAPITAL LLC
839,2014-655196-Sola,NRG Residential Solar Solutions
840,2014-643551-Sola,ACCORD POWER INC
841,2013-536347-Sola,SUNPOWER REBATE PROGRAM
842,4056-011,ISI Solar
843,2012-469370-Sola,HORIZON SOLAR
844,2011-157744-SLPR,
845,2011-346646-SLPR,JOJO ELECTRIC DBA OWENS ELECTRIC
846,2011-159809-SLPR,
847,2011-159098-SLPR,
848,2011-157380-SLPR,
849,2011-440829-Sola,SUN ENERGY INC
850,2013-542693-Sola,VIVINT SOLAR
851,2014-648653-Sola,INNOVATED ENERGY SOLUTIONS
852,2010-148648-SLPR,MERCURY SOLAR SYSTEMS
853,2011-157605-SLPR,
854,2013-625483-Sola,EASTERN ENERGY SYSTEMS INC
855,2011-346659-SLPR,SUNPOWER REBATE PROGRAM
856,2014-647926-Sola,"VISIGOTH SOLAR 1, LLC"
857,2014-654967-Sola,EMPOWER CES LLC
858,2014-640094-Sola,"SOLAR INTEGRATED FUND I, LLC"
859,2011-161144-SLPR,
860,2012-487804-Sola,TRINITY SOLAR
861,2012-457735-Sola,SUNPOWER REBATE PROGRAM
862,2011-414489-Sola,SUNPOWER REBATE PROGRAM
863,4054-20708,"Earthsponse, LLC"
864,2010-145888-SLPR,EMPOWER CES LLC
865,2011-150327-SLPR,
866,2014-646477-Sola,VIVINT SOLAR
867,4054-19778,"Earthsponse, LLC"
868,2013-538561-Sola,"SUNRUN, INC"
869,2013-529455-Sola,SUNWIZE TECHNOLOGIES
870,2013-535657-Sola,SUNWIZE TECHNOLOGIES
871,2013-631039-Sola,VIVINT SOLAR
872,2012-454440-SLPR,JOYCE MILILLO
873,2014-662733-Sola,VIVINT SOLAR
874,2014-660804-Sola,VIVINT SOLAR
875,2012-456101-SLPR,SUNPOWER REBATE PROGRAM
876,2012-487478-Sola,SUNRISE ENERGY CONCEPTS INC
877,2013-534548-Sola,"SUNRUN, INC"
878,2013-636686-Sola,GREENLOGIC LLC
879,2014-649546-Sola,VIVINT SOLAR
880,4116-002,"Solar Liberty Energy Systems, Inc."
881,2011-157019-SLPR,
882,2014-645324-Sola,VIVINT SOLAR
883,2010-145704-SLPR,"GO SOLAR GRID TIE SYSTEMS, INC."
884,2014-653832-Sola,GREENLOGIC LLC
885,4061-22109,Hudson Valley Clean Energy
886,2014-663240-Sola,VIVINT SOLAR
887,4061-23079,Hudson Valley Clean Energy
888,2013-539958-Sola,Mound Solar Owner VIII LLC
889,2010-148507-SLPR,SUNPOWER REBATE PROGRAM
890,2012-464496-Sola,SUNWIZE TECHNOLOGIES
891,2014-639939-Sola,VIVINT SOLAR
892,2014-645651-Sola,Mound Solar Owner VIII LLC
893,4006-67870,"ETM Solar Works, Inc."
894,2011-378608-SLPR,MAJESTIC SON & SONS INC.
895,2011-157199-SLPR,
896,2013-636607-Sola,ELDOR CONTRACTING CORP
897,4018-34775,"Finger Lakes Renewable Energy, LLC"
898,2011-187860-SLPR,
899,2014-663688-Sola,SUNPOWER REBATE PROGRAM
900,2013-528269-Sola,SUNPOWER REBATE PROGRAM
901,2013-530944-Sola,"SUNPOWER CAPITAL, LLC c/o RESIDENTIAL LEASING"
902,2011-230103-SLPR,JOYCE MILILLO
903,2014-638476-Sola,VIVINT SOLAR
904,4033-51099,"Renovus Energy, Inc"
905,2012-502594-Sola,EMPIRE CLEAN ENERGY SUPPLY
906,2013-631090-Sola,VIVINT SOLAR
907,2011-156643-SLPR,
908,4018-011,"Finger Lakes Renewable Energy, LLC"
909,2011-156348-SLPR,
910,2014-656054-Sola,"SUNRUN, INC"
911,2011-159784-SLPR,
912,2011-184093-SLPR,
913,4086-039,"groSolar (Global Resource Options, Inc.)"
914,2012-500762-Sola,ELDOR CONTRACTING CORP
915,4089-23897,AeonSolar
916,2011-156814-SLPR,
917,2011-157272-SLPR,
918,2011-188613-SLPR,
919,2012-518055-Sola,COOPER ELECTRIC
920,2013-537897-Sola,WESCO DISTRIBUTION INC
921,2014-646148-Sola,FJC
922,2012-457584-Sola,SUNPOWER REBATE PROGRAM
923,2011-160664-SLPR,
924,4006-51874,"ETM Solar Works, Inc."
925,2013-537768-Sola,LEVEL SOLAR
926,2011-160321-SLPR,
927,2013-539677-Sola,ALLIED BUILDING PRODUCT CORP
928,4011-44338,Triangle Electrical Systems
929,4014-003-1,"Solar Energy Systems, LLC"
930,2011-157297-SLPR,
931,2010-144606-SLPR,MERCURY SOLAR SYSTEMS
932,2011-158273-SLPR,
933,2011-157619-SLPR,
934,2011-159333-SLPR,
935,2011-189010-SLPR,
936,2013-528400-Sola,WESCO DISTRIBUTION INC
937,2012-479104-Sola,"SUNBURN SOLAR, INC."
938,2012-456601-Sola,SUNPOWER REBATE PROGRAM
939,2012-458254-Sola,SUNPOWER REBATE PROGRAM
940,2014-646199-Sola,LONG ISLAND POWER SOLUTIONS
941,2011-156686-SLPR,
942,2011-157734-SLPR,
943,2011-432305-SLPR,MERCURY SOLAR SYSTEMS
944,2011-157185-SLPR,
945,2013-532857-Sola,"MOUND SOLAR OWNER V, LLC"
946,2011-159588-SLPR,
947,2011-159954-SLPR,
948,2012-517527-Sola,HARVEST POWER
949,4033-47902,"Renovus Energy, Inc"
950,2012-474973-Sola,NEW GENERATION ENERGY & ENVIRONM
951,2014-646054-Sola,SUNPOWER CAPITAL LLC
952,2014-654862-Sola,PATRIOT ENERGY SOLUTIONS
953,2011-160867-SLPR,
954,2014-636830-Sola,SUNPOWER REBATE PROGRAM
955,2014-664346-Sola,ELDOR CONTRACTING CORP
956,2011-157579-SLPR,
957,4015-25710,"altPower, Inc."
958,2014-648622-Sola,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC
959,2013-606285-Sola,"SUNRUN, INC"
960,2011-423523-SLPR,
961,2011-160254-SLPR,
962,2013-520568-Sola,SUNWIZE TECHNOLOGIES
963,2011-157484-SLPR,
964,2013-538961-Sola,SUNPOWER REBATE PROGRAM
965,2014-644748-Sola,VIVINT SOLAR
966,2013-538708-Sola,"SUNRUN, INC"
967,2011-346670-SLPR,SUNPOWER REBATE PROGRAM
968,2011-161139-SLPR,
969,2014-660863-Sola,VIVINT SOLAR
970,2011-159854-SLPR,
971,2010-146966-SLPR,JOYCE MILILLO
972,2014-649578-Sola,VIVINT SOLAR
973,2013-531200-Sola,ASTRUM SOLAR INC
974,2014-655482-Sola,solar house II llc
975,2013-609618-Sola,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC
976,2010-146963-SLPR,A&B HOME IMPROVEMENT CO
977,2010-144969-SLPR,SUNPOWER REBATE PROGRAM
978,2011-160648-SLPR,
979,2014-663417-Sola,VIVINT SOLAR
980,4006-44879,"ETM Solar Works, Inc."
981,2011-157554-SLPR,
982,2012-455978-SLPR,BUILT WELL SOLAR
983,4095-22107,"Solar Energy Systems, LLC"
984,2013-630242-Sola,SOLARCITY CORPORATION
985,2014-636943-Sola,ENERGY BY CHOICE LTD
986,2014-642050-Sola,VIVINT SOLAR
987,2011-159467-SLPR,
988,2013-528309-Sola,SUN ENERGY INC
989,2014-658685-Sola,INNOVATED ENERGY SOLUTIONS
990,2011-159842-SLPR,
991,2013-539822-Sola,GREENLOGIC LLC
992,2014-640391-Sola,VIVINT SOLAR
993,2013-534538-Sola,"MOUND SOLAR OWNER V, LLC"
994,2013-520585-Sola,SUNATION SOLAR SYSTEMS INC.
995,2014-649428-Sola,SOLARCITY CORPORATION
996,2012-459461-Sola,SUNPOWER REBATE PROGRAM
997,2013-542619-Sola,SOLARCITY CORPORATION
998,2014-664526-Sola,"solar Intergrated fund II, llc"
999,2011-159369-SLPR,
1000,4001-26030,"Great Brook Solar NRG, LLC"
1001,2014-663133-Sola,VIVINT SOLAR
1002,4030-20129,Hudson Valley Clean Energy
1003,4054-19787,"Earthsponse, LLC"
1004,2011-160198-SLPR,
1005,4018-64253,"Finger Lakes Renewable Energy, LLC"
1006,2014-655964-Sola,VIVINT SOLAR
1007,4006-22154,"ETM Solar Works, Inc."
1008,2013-538375-Sola,"SUNRUN, INC"
1009,2011-161158-SLPR,
1010,2011-378398-SLPR,SUNATION SOLAR SYSTEMS INC.
1011,2011-156755-SLPR,
1012,2013-536053-Sola,SUNPOWER CAPITAL LLC
1013,2013-636594-Sola,VIVINT SOLAR
1014,4006-20531,"ETM Solar Works, Inc."
1015,2012-464035-Sola,SUNPOWER REBATE PROGRAM
1016,2011-158782-SLPR,
1017,2011-158875-SLPR,
1018,2013-532400-Sola,"SUNRUN, INC"
1019,2014-646254-Sola,VIVINT SOLAR
1020,2013-555393-Sola,"SolarHouse 1, LLC"
1021,4030-007,Hudson Valley Clean Energy
1022,2011-157680-SLPR,
1023,2011-195538-SLPR,JOYCE MILILLO
1024,2014-637036-Sola,JOSEPH MILILLO
1025,4040-003,"Sunnyside Solar, Inc."
1026,2014-660717-Sola,"solar Intergrated fund II, llc"
1027,2013-538820-Sola,VIVINT SOLAR
1028,2014-648142-Sola,VIVINT SOLAR
1029,2014-665926-Sola,"LOUIS SOLAR I, LLC"
1030,2013-540704-Sola,GREENLOGIC LLC
1031,4061-073,Hudson Valley Clean Energy
1032,2013-537104-Sola,"ROOF DIAGNOSTICS SOLAR & ELECTRIC OF NY., LLC"
1033,2013-536572-Sola,"MOUND SOLAR OWNER V, LLC"
1034,2013-537094-Sola,"SUNRUN, INC"
1035,2014-655787-Sola,ENERGY BY CHOICE LTD
1036,2012-476300-Sola,SUNWIZE TECHNOLOGIES
1037,4033-44022,"Renovus Energy, Inc"
1038,2014-646776-Sola,VIVINT SOLAR
1039,2011-157031-SLPR,
1040,4033-49500,"Renovus Energy, Inc"
1041,2010-147743-SLPR,MERCURY SOLAR SYSTEMS
1042,2011-159316-SLPR,
1043,4003-067,"Alteris RPS, LLC"
1044,2011-158056-SLPR,
1045,4086-007,"groSolar (Global Resource Options, Inc.)"
1046,2013-535935-Sola,GREENLOGIC LLC
1047,4001-022,"Great Brook Solar NRG, LLC"
1048,4030-23162,Hudson Valley Clean Energy
1049,2011-390617-SLPR,SUNPOWER REBATE PROGRAM
1050,2013-530374-Sola,EMPOWER CES LLC
1051,2011-159725-SLPR,
1052,2011-354861-SLPR,MAJESTIC SON & SONS INC.
1053,4033-58138,"Renovus Energy, Inc"
1054,2012-504879-Sola,SUNWIZE TECHNOLOGIES
1055,2011-159767-SLPR,
1056,2012-470831-Sola,SUNPOWER REBATE PROGRAM
1057,2014-654855-Sola,SOLARWINDEPENDENCE
1058,2011-160090-SLPR,
1059,2011-159483-SLPR,
1060,2011-160655-SLPR,
1061,2011-160447-SLPR,
1062,2014-661529-Sola,NRG Residential Solar Solutions
1063,2014-655148-Sola,ENERGY BY CHOICE LTD
1064,2013-542699-Sola,VIVINT SOLAR
1065,2011-160539-SLPR,
1066,2010-147801-SLPR,TRINITY SOLAR
1067,2011-160091-SLPR,
1068,2014-649258-Sola,SUNPOWER REBATE PROGRAM
1069,2014-646749-Sola,VIVINT SOLAR
1070,4030-20568,Hudson Valley Clean Energy
1071,2011-390944-SLPR,SUNRISE ENERGY CONCEPTS INC
1072,4040-19700,"Sunnyside Solar, Inc."
1073,2011-159765-SLPR,
1074,2013-536497-Sola,"SolarHouse 1, LLC"
1075,2010-145419-SLPR,SUNPOWER REBATE PROGRAM
1076,2011-390718-SLPR,NATIONAL GRID ENERGY MANAGEMENT LLC
1077,2013-633947-Sola,GREENLOGIC LLC
1078,2011-158952-SLPR,
1079,2014-655215-Sola,VIVINT SOLAR
1080,2014-660741-Sola,VIVINT SOLAR
1081,2013-530354-Sola,COOPER ELECTRIC
1082,2012-519447-Sola,SUNWIZE TECHNOLOGIES
1083,2011-159199-SLPR,
1084,2014-649074-Sola,INNOVATED ENERGY SOLUTIONS
1085,4033-40023,"Renovus Energy, Inc"
1086,2014-664133-Sola,"LOUIS SOLAR I, LLC"
1087,2013-546740-Sola,Mound Solar Owner VIII LLC
1088,2011-160558-SLPR,
1089,2011-159364-SLPR,
1090,2011-447938-Sola,SUNPOWER REBATE PROGRAM
1091,2011-157655-SLPR,
1092,2013-625388-Sola,Mound Solar Owner VIII LLC
1093,2014-655907-Sola,INNOVATED ENERGY SOLUTIONS
1094,2014-666152-Sola,VIVINT SOLAR
1095,2013-631029-Sola,VIVINT SOLAR
1096,2013-538190-Sola,QUAD STATE SOLAR
1097,2013-536383-Sola,VIVINT SOLAR
1098,2014-655742-Sola,R & B QUALITY ELECTRIC
1099,2013-537973-Sola,"SUNRUN, INC"
1100,2013-625390-Sola,"SolarHouse 1, LLC"
1101,2012-490671-Sola,SUNPOWER REBATE PROGRAM
1102,4011-019,Triangle Electrical Systems
1103,2013-533876-Sola,"SUNRUN, INC"
1104,2013-625328-Sola,VIVINT SOLAR
1105,2011-160672-SLPR,
1106,2011-157836-SLPR,
1107,4096-007,T-KAR Smart Energy Systems Electric and Construction Inc.
1108,4025-23422,"Solar & Wind FX, Inc."
1109,2010-147665-SLPR,SUNPOWER REBATE PROGRAM
1110,2011-160844-SLPR,
1111,2011-188607-SLPR,
1112,2011-158254-SLPR,
1113,2011-159529-SLPR,
1114,2013-538580-Sola,"MOUND SOLAR OWNER V, LLC"
1115,2014-658897-Sola,VIVINT SOLAR
1116,2013-608160-Sola,VIVINT SOLAR
1117,2011-156801-SLPR,
1118,2014-638451-Sola,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC
1119,2011-158011-SLPR,
1120,2013-533634-Sola,KPS SOLAR Inc.
1121,2011-156276-SLPR,
1122,2013-539911-Sola,"SUNRUN, INC"
1123,2014-648995-Sola,"SOLAR INTEGRATED FUND I, LLC"
1124,2011-158442-SLPR,
1125,2014-659180-Sola,VIVINT SOLAR
1126,2011-159861-SLPR,
1127,2014-640218-Sola,JOYCE MILILLO
1128,2014-664007-Sola,HARVEST POWER
1129,2013-583731-Sola,JOHNSON CONTROL INC
1130,2014-655143-Sola,VIVINT SOLAR
1131,2013-542222-Sola,"SolarHouse 1, LLC"
1132,2013-542523-Sola,TRINITY SOLAR
1133,2011-150409-SLPR,SUNWIZE TECHNOLOGIES
1134,2014-646546-Sola,"VISIGOTH SOLAR 1, LLC"
1135,2014-643503-Sola,VIVINT SOLAR
1136,4022-41987,Mercury Solar
1137,2011-158593-SLPR,
1138,2014-655752-Sola,"AMERICAN SOLAR PARTNERS, LLC"
1139,2014-663328-Sola,ALLIED BUILDING PRODUCT CORP
1140,2012-488466-Sola,SUNPOWER REBATE PROGRAM
1141,2011-159733-SLPR,
1142,2011-159217-SLPR,
1143,2014-645639-Sola,INNOVATED ENERGY SOLUTIONS
1144,2013-536972-Sola,"SolarHouse 1, LLC"
1145,2013-530927-Sola,"SUNPOWER CAPITAL, LLC c/o RESIDENTIAL LEASING"
1146,2014-653966-Sola,SOLARCITY CORPORATION
1147,2014-659151-Sola,VIVINT SOLAR
1148,2011-156962-SLPR,
1149,2014-647973-Sola,VIVINT SOLAR
1150,2011-158184-SLPR,
1151,2012-448280-SLPR,SUNPOWER REBATE PROGRAM
1152,2014-663518-Sola,VIVINT SOLAR
1153,2013-536229-Sola,VIVINT SOLAR
1154,2013-530311-Sola,WESCO DISTRIBUTION INC
1155,2014-655986-Sola,VIVINT SOLAR
1156,2011-441555-Sola,SUNPOWER REBATE PROGRAM
1157,2011-346675-SLPR,"AMERICAN SOLAR PARTNERS, LLC"
1158,2013-535698-Sola,ALLIED BUILDING PRODUCT CORP
1159,2011-158576-SLPR,
1160,2013-539573-Sola,"SUNPOWER CAPITAL, LLC c/o RESIDENTIAL LEASING"
1161,2013-520620-Sola,ACCORD POWER INC
1162,4054-022,"Earthsponse, LLC"
1163,2013-539838-Sola,GS DIRECT LLC
1164,2011-432859-Sola,BEST ENERGY POWER
1165,2013-538349-Sola,SUNPOWER CAPITAL LLC
1166,2011-157842-SLPR,
1167,2011-158913-SLPR,
1168,2010-147425-SLPR,UR SOLAR POWER LLC
1169,2012-469589-Sola,FJC
1170,2011-160051-SLPR,
1171,2014-674023-Sola,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC
1172,2011-156906-SLPR,
1173,2013-528329-Sola,SUNPOWER REBATE PROGRAM
1174,2014-641656-Sola,SUNPOWER REBATE PROGRAM
1175,4061-22583,Hudson Valley Clean Energy
1176,4006-42913,"ETM Solar Works, Inc."
1177,2011-160953-SLPR,
1178,2014-645769-Sola,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC
1179,2014-649626-Sola,LONG ISLAND POWER SOLUTIONS
1180,4006-26890,"ETM Solar Works, Inc."
1181,2014-666222-Sola,LEVEL SOLAR
1182,2013-531845-Sola,SUNPOWER REBATE PROGRAM
1183,2013-536204-Sola,VIVINT SOLAR
1184,2011-160240-SLPR,
1185,2014-664226-Sola,VIVINT SOLAR
1186,2011-390636-SLPR,UR SOLAR POWER LLC
1187,2011-161189-SLPR,
1188,4003-24049,"Alteris RPS, LLC"
1189,2014-648193-Sola,VIVINT SOLAR
1190,4061-030,Hudson Valley Clean Energy
1191,2011-156295-SLPR,
1192,2014-666207-Sola,VIVINT SOLAR
1193,2014-636973-Sola,VIVINT SOLAR
1194,4003-22649,"Alteris RPS, LLC"
1195,4033-47474,"Renovus Energy, Inc"
1196,4011-27908,Triangle Electrical Systems
1197,2011-157056-SLPR,
1198,2013-530237-Sola,HARVEST POWER
1199,2013-631084-Sola,VIVINT SOLAR
1200,2011-160140-SLPR,
1201,2011-191179-SLPR,RH INNOVATION INC
1202,2012-488188-Sola,SUNPOWER REBATE PROGRAM
1203,2014-655455-Sola,LONG ISLAND POWER SOLUTIONS
1204,2011-356340-SLPR,SUNPOWER REBATE PROGRAM
1205,2013-539965-Sola,SOLARCITY CORPORATION
1206,2012-470073-Sola,FJC
1207,2011-158625-SLPR,
1208,2011-432930-Sola,SUNPOWER REBATE PROGRAM
